                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0382,                 3.4831,                 1.2593,                0.43771,                0.16108,                0.16851,                0.11723,                0.98271,                 2.7975,                 1.0031,             0.00025313,             0.00025313,             0.00025313
                      1,                 1.0448,                 2.4053,                 1.2584,                0.36812,                0.47715,                0.40802,                0.28664,                 1.0714,                 2.3344,                 1.1483,             0.00050442,             0.00050442,             0.00050442
                      2,                 1.0596,                 1.8652,                 1.2936,                0.28995,                0.63933,                0.44743,                0.29934,                 1.0473,                 2.0468,                 1.2113,             0.00075063,             0.00075063,             0.00075063
                      3,                  1.011,                 1.6808,                 1.2329,                0.45599,                 0.6412,                0.57176,                0.41121,                 1.0122,                 1.7156,                 1.2029,             0.00074616,             0.00074616,             0.00074616
                      4,                0.97229,                 1.5309,                 1.2116,                0.49215,                0.69218,                 0.6073,                0.43527,                 1.0462,                 1.5351,                 1.2166,             0.00074616,             0.00074616,             0.00074616
                      5,                0.92293,                 1.4171,                 1.1624,                0.53936,                0.72982,                0.69813,                0.51977,                0.93204,                 1.5799,                 1.1189,             0.00073855,             0.00073855,             0.00073855
                      6,                0.90233,                 1.3275,                 1.1745,                0.69866,                0.59831,                0.68662,                0.48767,                   1.01,                 1.4364,                 1.2502,             0.00073093,             0.00073093,             0.00073093
                      7,                0.89219,                 1.2626,                 1.1716,                 0.7036,                0.64714,                0.67299,                0.50175,                0.97036,                 1.3601,                 1.1989,             0.00072332,             0.00072332,             0.00072332
                      8,                0.86205,                 1.2137,                 1.1508,                0.79008,                0.67668,                0.72743,                0.55281,                0.94337,                 1.2337,                 1.1935,             0.00071571,             0.00071571,             0.00071571
                      9,                0.86743,                 1.1765,                 1.1573,                0.60162,                0.67435,                0.68229,                0.52529,                0.87488,                 1.3172,                 1.1113,              0.0007081,              0.0007081,              0.0007081
                     10,                0.84091,                 1.1445,                 1.1397,                0.64875,                0.81092,                0.73879,                0.54907,                  0.888,                 1.2505,                 1.1454,             0.00070048,             0.00070048,             0.00070048
                     11,                0.81776,                 1.0682,                 1.1279,                0.63031,                0.80274,                0.76234,                0.59351,                0.88511,                 1.2215,                 1.1325,             0.00069287,             0.00069287,             0.00069287
                     12,                0.81702,                 1.0432,                 1.1223,                0.65853,                0.77387,                 0.7633,                0.59443,                0.81871,                 1.1657,                 1.1078,             0.00068526,             0.00068526,             0.00068526
                     13,                0.78119,                 1.0008,                 1.1029,                0.69213,                0.73427,                0.75576,                0.59525,                0.89673,                 1.1078,                 1.1729,             0.00067764,             0.00067764,             0.00067764
                     14,                0.78667,                0.97215,                  1.115,                0.74555,                0.72841,                0.76284,                0.60404,                0.83799,                 1.1059,                 1.1465,             0.00067003,             0.00067003,             0.00067003
                     15,                0.77968,                0.94598,                 1.0999,                0.69136,                0.81399,                0.83022,                0.62694,                0.92482,                0.96309,                  1.175,             0.00066242,             0.00066242,             0.00066242
                     16,                0.78026,                0.94148,                   1.11,                  0.655,                0.80296,                 0.8134,                0.61581,                0.89171,                 1.0922,                 1.1564,              0.0006548,              0.0006548,              0.0006548
                     17,                0.75736,                0.91238,                 1.0967,                0.73533,                0.80032,                0.83876,                0.65137,                0.82894,                0.96892,                 1.1306,             0.00064719,             0.00064719,             0.00064719
