epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.6983,1.27446,4.03032,1.32595,0.60268,0.18048,0.15981,0.11002,1.15012,3.13166,1.03152,0.000253129,0.000253129,0.000253129
2,131.734,1.20765,2.86626,1.23797,0.29156,0.36797,0.30258,0.20128,1.23649,2.54955,1.14806,0.000504419,0.000504419,0.000504419
3,194.877,1.21677,2.0827,1.25712,0.50101,0.38107,0.4084,0.26857,1.15155,2.26497,1.19856,0.000750633,0.000750633,0.000750633
4,255.783,1.13304,1.75005,1.25836,0.44273,0.62131,0.47692,0.29817,1.16347,2.14202,1.2792,0.000746161,0.000746161,0.000746161
5,316.213,1.08543,1.58061,1.22425,0.4479,0.58556,0.49216,0.3396,1.1137,1.72319,1.26507,0.000738548,0.000738548,0.000738548
6,376.823,1.07923,1.49176,1.21308,0.48135,0.58112,0.56691,0.38873,1.10792,1.62849,1.27026,0.000730935,0.000730935,0.000730935
7,436.694,1.03391,1.40632,1.20066,0.64237,0.61245,0.62547,0.41069,1.1483,1.56113,1.23629,0.000723321,0.000723321,0.000723321
8,496.883,1.02459,1.33339,1.18345,0.52378,0.64661,0.62312,0.43416,0.99787,1.36379,1.16799,0.000715708,0.000715708,0.000715708
9,556.923,0.99121,1.27712,1.17991,0.57851,0.58409,0.64072,0.45469,1.03623,1.4656,1.22032,0.000708095,0.000708095,0.000708095
10,619.779,0.96133,1.20029,1.1499,0.50279,0.63716,0.60999,0.43102,1.04209,1.48913,1.2025,0.000700482,0.000700482,0.000700482
11,680.723,0.95656,1.2599,1.15728,0.64373,0.83102,0.73127,0.52264,0.98187,1.36718,1.15542,0.000692869,0.000692869,0.000692869
12,740.964,0.90558,1.13899,1.13272,0.60112,0.72036,0.69903,0.52306,0.903,1.38264,1.12238,0.000685256,0.000685256,0.000685256
13,800.426,0.91147,1.14216,1.12764,0.58198,0.81772,0.70151,0.51493,0.92138,1.24173,1.14773,0.000677643,0.000677643,0.000677643
14,860.398,0.92056,1.16255,1.13442,0.73147,0.61925,0.73149,0.53674,0.96028,1.21319,1.17145,0.00067003,0.00067003,0.00067003
15,921.681,0.8815,1.0752,1.10983,0.63857,0.73303,0.71824,0.54696,0.91546,1.16471,1.15242,0.000662417,0.000662417,0.000662417
16,982.387,0.88928,1.07976,1.11399,0.63036,0.7194,0.70197,0.51335,0.9804,1.12989,1.16364,0.000654804,0.000654804,0.000654804
17,1043.63,0.89131,1.07032,1.11791,0.78562,0.62381,0.71496,0.54729,0.92434,1.18239,1.17941,0.00064719,0.00064719,0.00064719
18,1102.88,0.86197,0.99399,1.10031,0.65238,0.67295,0.73391,0.55003,0.90723,1.15074,1.14218,0.000639577,0.000639577,0.000639577
19,1162.94,0.89675,0.97442,1.10968,0.6245,0.72753,0.71977,0.54225,0.88089,1.14773,1.11583,0.000631964,0.000631964,0.000631964
20,1222.56,0.85755,0.97165,1.0959,0.69248,0.68714,0.72626,0.56203,0.90697,1.15195,1.13731,0.000624351,0.000624351,0.000624351
21,1285.95,0.85443,0.99388,1.09575,0.57591,0.82132,0.74681,0.57166,0.86035,1.11664,1.12238,0.000616738,0.000616738,0.000616738
22,1344.95,0.85234,0.95468,1.09578,0.82069,0.62283,0.71348,0.54131,0.88692,1.15474,1.1141,0.000609125,0.000609125,0.000609125
23,1403.63,0.85631,0.93211,1.09686,0.84149,0.69574,0.7829,0.60676,0.81909,0.96663,1.0871,0.000601512,0.000601512,0.000601512
24,1463.07,0.85803,0.94527,1.10397,0.83636,0.6343,0.74988,0.58385,0.84935,1.0367,1.10778,0.000593899,0.000593899,0.000593899
25,1528.58,0.84407,0.90366,1.08197,0.5729,0.79804,0.74133,0.57457,0.83069,1.04911,1.11427,0.000586286,0.000586286,0.000586286
26,1589.23,0.83783,0.91351,1.09184,0.8341,0.63401,0.76805,0.58449,0.85219,1.14106,1.08411,0.000578672,0.000578672,0.000578672
27,1648.79,0.82434,0.88241,1.07651,0.85203,0.70532,0.79415,0.61144,0.82997,0.9557,1.10207,0.000571059,0.000571059,0.000571059
28,1708.39,0.81114,0.86822,1.07183,0.84929,0.68026,0.79096,0.60915,0.86558,0.97648,1.10726,0.000563446,0.000563446,0.000563446
29,1768.14,0.79701,0.85315,1.06555,0.64816,0.77037,0.76667,0.59454,0.83564,1.04221,1.07876,0.000555833,0.000555833,0.000555833
30,1827.8,0.79492,0.85677,1.06437,0.64161,0.75756,0.72286,0.5623,0.8389,1.12689,1.09489,0.00054822,0.00054822,0.00054822
31,1888.13,0.802,0.83451,1.07057,0.69612,0.78662,0.79485,0.60763,0.83742,0.99948,1.11244,0.000540607,0.000540607,0.000540607
32,1948.07,0.7877,0.83538,1.0554,0.67323,0.81205,0.79008,0.6169,0.80387,1.00495,1.07986,0.000532994,0.000532994,0.000532994
33,2007.66,0.77886,0.82442,1.05851,0.69552,0.70788,0.77337,0.59454,0.83614,1.00658,1.07332,0.000525381,0.000525381,0.000525381
34,2066.79,0.78681,0.81863,1.06144,0.79779,0.72966,0.79812,0.60656,0.85999,0.96538,1.10209,0.000517768,0.000517768,0.000517768
35,2128.58,0.77893,0.81495,1.05728,0.69643,0.84048,0.8577,0.64238,0.86239,0.9274,1.1082,0.000510155,0.000510155,0.000510155
36,2188.64,0.80589,0.85397,1.07432,0.71194,0.86878,0.80976,0.62878,0.81909,0.94137,1.06205,0.000502541,0.000502541,0.000502541
37,2248.81,0.77531,0.78685,1.06235,0.71556,0.77969,0.83768,0.64892,0.82331,0.9277,1.07616,0.000494928,0.000494928,0.000494928
38,2307.81,0.76573,0.80263,1.05709,0.67614,0.86834,0.80051,0.61523,0.83907,0.91564,1.09206,0.000487315,0.000487315,0.000487315
39,2371.45,0.77381,0.78648,1.0536,0.62154,0.79211,0.8119,0.61495,0.82243,0.96903,1.07584,0.000479702,0.000479702,0.000479702
40,2430.01,0.75588,0.75871,1.0524,0.74454,0.80296,0.8372,0.65669,0.82136,0.86447,1.08762,0.000472089,0.000472089,0.000472089
41,2489.44,0.76274,0.76115,1.03862,0.7766,0.8387,0.82525,0.64562,0.82926,0.86916,1.08386,0.000464476,0.000464476,0.000464476
42,2548.44,0.74803,0.73645,1.04346,0.76925,0.82773,0.85947,0.65929,0.78246,0.87298,1.0561,0.000456863,0.000456863,0.000456863
43,2611.93,0.75689,0.7382,1.03608,0.78411,0.79041,0.85411,0.66272,0.81884,0.86351,1.07665,0.00044925,0.00044925,0.00044925
44,2673.78,0.73548,0.71937,1.03703,0.78771,0.77777,0.85911,0.66852,0.79176,0.82091,1.0661,0.000441637,0.000441637,0.000441637
45,2733.14,0.74631,0.73693,1.03226,0.73884,0.77767,0.8079,0.62545,0.78717,0.896,1.06616,0.000434024,0.000434024,0.000434024
46,2792.39,0.73942,0.70687,1.04141,0.72974,0.84508,0.83489,0.65926,0.79695,0.87796,1.06153,0.000426411,0.000426411,0.000426411
47,2850.9,0.75252,0.71666,1.03525,0.81629,0.8802,0.89376,0.68222,0.83447,0.77369,1.07349,0.000418797,0.000418797,0.000418797
48,2916.99,0.72657,0.71574,1.02687,0.79143,0.74979,0.82502,0.63825,0.8136,0.8677,1.08694,0.000411184,0.000411184,0.000411184
49,2978.67,0.73274,0.72978,1.03789,0.7808,0.82889,0.85839,0.67226,0.78807,0.80934,1.05867,0.000403571,0.000403571,0.000403571
50,3041.37,0.73178,0.71414,1.03399,0.75244,0.87714,0.88278,0.69499,0.7924,0.78707,1.06413,0.000395958,0.000395958,0.000395958
51,3103.19,0.75437,0.72274,1.04961,0.76217,0.85717,0.89068,0.69551,0.77444,0.76113,1.05492,0.000388345,0.000388345,0.000388345
52,3165.32,0.71313,0.67746,1.0262,0.79599,0.85113,0.85362,0.6696,0.78404,0.82306,1.06766,0.000380732,0.000380732,0.000380732
53,3227.46,0.70833,0.68006,1.01554,0.79733,0.87082,0.89762,0.71443,0.77235,0.76674,1.04708,0.000373119,0.000373119,0.000373119
54,3293.03,0.71419,0.69174,1.02865,0.79981,0.83727,0.85191,0.68178,0.76194,0.80116,1.06067,0.000365506,0.000365506,0.000365506
55,3354.08,0.7275,0.66609,1.02311,0.8013,0.73829,0.84881,0.67066,0.76718,0.88155,1.05676,0.000357893,0.000357893,0.000357893
56,3413.63,0.72311,0.68659,1.03478,0.75767,0.84297,0.84897,0.67811,0.77451,0.82464,1.04629,0.00035028,0.00035028,0.00035028
57,3474.8,0.68326,0.6316,1.01258,0.83208,0.80957,0.86853,0.7008,0.75081,0.76271,1.03709,0.000342666,0.000342666,0.000342666
58,3539.09,0.70815,0.64948,1.02744,0.84548,0.83784,0.87261,0.69143,0.76826,0.78668,1.06044,0.000335053,0.000335053,0.000335053
59,3599.47,0.69402,0.66089,1.02068,0.82876,0.82588,0.8562,0.67917,0.74515,0.79771,1.03837,0.00032744,0.00032744,0.00032744
60,3659.26,0.7231,0.63722,1.01971,0.81673,0.86764,0.87348,0.69166,0.76276,0.79666,1.04088,0.000319827,0.000319827,0.000319827
61,3718.22,0.69059,0.62988,1.01642,0.82696,0.91188,0.90701,0.71239,0.75633,0.706,1.04229,0.000312214,0.000312214,0.000312214
62,3782.74,0.7011,0.63868,1.01518,0.81766,0.83706,0.86828,0.69725,0.74146,0.76709,1.04753,0.000304601,0.000304601,0.000304601
